iteration	TMSE
1417		0.013039
1418		0.013037
1419		0.013036
1420		0.013034
1421		0.013032
1422		0.013030
1423		0.013028
1424		0.013026
1425		0.013025
1426		0.013023
1427		0.013021
1428		0.013019
1429		0.013017
1430		0.013015
1431		0.013014
1432		0.013012
1433		0.013010
1434		0.013008
1435		0.013006
1436		0.013004
1437		0.013003
1438		0.013001
1439		0.012999
1440		0.012997
1441		0.012995
1442		0.012993
1443		0.012992
1444		0.012990
1445		0.012988
1446		0.012986
1447		0.012984
1448		0.012982
1449		0.012981
1450		0.012979
1451		0.012977
1452		0.012975
1453		0.012973
1454		0.012971
1455		0.012970
1456		0.012968
1457		0.012966
1458		0.012964
1459		0.012962
1460		0.012960
1461		0.012959
1462		0.012957
1463		0.012955
1464		0.012953
1465		0.012951
1466		0.012949
1467		0.012948
1468		0.012946
1469		0.012944
1470		0.012942
1471		0.012940
1472		0.012939
1473		0.012937
1474		0.012935
1475		0.012933
1476		0.012931
1477		0.012929
1478		0.012928
1479		0.012926
1480		0.012924
1481		0.012922
1482		0.012920
1483		0.012919
1484		0.012917
1485		0.012915
1486		0.012913
1487		0.012911
1488		0.012909
1489		0.012908
1490		0.012906
1491		0.012904
1492		0.012902
1493		0.012900
1494		0.012899
1495		0.012897
1496		0.012895
1497		0.012893
1498		0.012891
1499		0.012889
1500		0.012888
1501		0.012886
1502		0.012884
1503		0.012882
1504		0.012880
1505		0.012879
1506		0.012877
1507		0.012875
1508		0.012873
1509		0.012871
1510		0.012869
1511		0.012868
1512		0.012866
1513		0.012864
1514		0.012862
1515		0.012860
1516		0.012859
1517		0.012857
1518		0.012855
1519		0.012853
1520		0.012851
1521		0.012850
1522		0.012848
1523		0.012846
1524		0.012844
1525		0.012842
1526		0.012841
1527		0.012839
1528		0.012837
1529		0.012835
1530		0.012833
1531		0.012832
1532		0.012830
1533		0.012828
1534		0.012826
1535		0.012824
1536		0.012823
1537		0.012821
1538		0.012819
1539		0.012817
1540		0.012815
1541		0.012814
1542		0.012812
1543		0.012810
1544		0.012808
1545		0.012806
1546		0.012805
1547		0.012803
1548		0.012801
1549		0.012799
1550		0.012797
1551		0.012796
1552		0.012794
1553		0.012792
1554		0.012790
1555		0.012788
1556		0.012787
1557		0.012785
1558		0.012783
1559		0.012781
1560		0.012779
1561		0.012778
1562		0.012776
1563		0.012774
1564		0.012772
1565		0.012770
1566		0.012769
1567		0.012767
1568		0.012765
1569		0.012763
1570		0.012761
1571		0.012760
1572		0.012758
1573		0.012756
1574		0.012754
1575		0.012752
1576		0.012751
1577		0.012749
1578		0.012747
1579		0.012745
1580		0.012744
1581		0.012742
1582		0.012740
1583		0.012738
1584		0.012736
1585		0.012735
1586		0.012733
1587		0.012731
1588		0.012729
1589		0.012727
1590		0.012726
1591		0.012724
1592		0.012722
1593		0.012720
1594		0.012719
1595		0.012717
1596		0.012715
1597		0.012713
1598		0.012711
1599		0.012710
1600		0.012708
1601		0.012706
1602		0.012704
1603		0.012702
1604		0.012701
1605		0.012699
1606		0.012697
1607		0.012695
1608		0.012694
1609		0.012692
1610		0.012690
1611		0.012688
1612		0.012686
1613		0.012685
1614		0.012683
1615		0.012681
1616		0.012679
1617		0.012678
1618		0.012676
1619		0.012674
1620		0.012672
1621		0.012670
1622		0.012669
1623		0.012667
1624		0.012665
1625		0.012663
1626		0.012662
1627		0.012660
1628		0.012658
1629		0.012656
1630		0.012655
1631		0.012653
1632		0.012651
1633		0.012649
1634		0.012647
1635		0.012646
1636		0.012644
1637		0.012642
1638		0.012640
1639		0.012639
1640		0.012637
1641		0.012635
1642		0.012633
1643		0.012631
1644		0.012630
1645		0.012628
1646		0.012626
1647		0.012624
1648		0.012623
1649		0.012621
1650		0.012619
1651		0.012617
1652		0.012616
1653		0.012614
1654		0.012612
1655		0.012610
1656		0.012609
1657		0.012607
1658		0.012605
1659		0.012603
1660		0.012601
1661		0.012600
1662		0.012598
1663		0.012596
1664		0.012594
1665		0.012593
1666		0.012591
1667		0.012589
1668		0.012587
1669		0.012586
1670		0.012584
1671		0.012582
1672		0.012580
1673		0.012579
1674		0.012577
1675		0.012575
1676		0.012573
1677		0.012572
1678		0.012570
1679		0.012568
1680		0.012566
1681		0.012565
1682		0.012563
1683		0.012561
1684		0.012559
1685		0.012557
1686		0.012556
1687		0.012554
1688		0.012552
1689		0.012550
1690		0.012549
1691		0.012547
1692		0.012545
1693		0.012543
1694		0.012542
1695		0.012540
1696		0.012538
1697		0.012536
1698		0.012535
1699		0.012533
1700		0.012531
1701		0.012529
1702		0.012528
1703		0.012526
1704		0.012524
1705		0.012522
1706		0.012521
1707		0.012519
1708		0.012517
1709		0.012515
1710		0.012514
1711		0.012512
1712		0.012510
1713		0.012508
1714		0.012507
1715		0.012505
1716		0.012503
1717		0.012502
1718		0.012500
1719		0.012498
1720		0.012496
1721		0.012495
1722		0.012493
1723		0.012491
1724		0.012489
1725		0.012488
1726		0.012486
1727		0.012484
1728		0.012482
1729		0.012481
1730		0.012479
1731		0.012477
1732		0.012475
1733		0.012474
1734		0.012472
1735		0.012470
1736		0.012468
1737		0.012467
1738		0.012465
1739		0.012463
1740		0.012461
1741		0.012460
1742		0.012458
1743		0.012456
1744		0.012455
1745		0.012453
1746		0.012451
1747		0.012449
1748		0.012448
1749		0.012446
1750		0.012444
1751		0.012442
1752		0.012441
1753		0.012439
1754		0.012437
1755		0.012435
1756		0.012434
1757		0.012432
1758		0.012430
1759		0.012428
1760		0.012427
1761		0.012425
1762		0.012423
1763		0.012422
1764		0.012420
1765		0.012418
1766		0.012416
1767		0.012415
1768		0.012413
1769		0.012411
1770		0.012409
1771		0.012408
1772		0.012406
1773		0.012404
1774		0.012403
1775		0.012401
1776		0.012399
1777		0.012397
1778		0.012396
1779		0.012394
1780		0.012392
1781		0.012390
1782		0.012389
1783		0.012387
1784		0.012385
1785		0.012384
1786		0.012382
1787		0.012380
1788		0.012378
1789		0.012377
1790		0.012375
1791		0.012373
1792		0.012372
1793		0.012370
1794		0.012368
1795		0.012366
1796		0.012365
1797		0.012363
1798		0.012361
1799		0.012359
1800		0.012358
1801		0.012356
1802		0.012354
1803		0.012353
1804		0.012351
1805		0.012349
1806		0.012347
1807		0.012346
1808		0.012344
1809		0.012342
1810		0.012341
1811		0.012339
1812		0.012337
1813		0.012335
1814		0.012334
1815		0.012332
1816		0.012330
1817		0.012329
1818		0.012327
1819		0.012325
1820		0.012323
1821		0.012322
1822		0.012320
1823		0.012318
1824		0.012317
1825		0.012315
1826		0.012313
1827		0.012311
1828		0.012310
1829		0.012308
1830		0.012306
1831		0.012305
1832		0.012303
1833		0.012301
1834		0.012299
1835		0.012298
1836		0.012296
1837		0.012294
1838		0.012293
1839		0.012291
1840		0.012289
1841		0.012288
1842		0.012286
1843		0.012284
1844		0.012282
1845		0.012281
1846		0.012279
1847		0.012277
1848		0.012276
1849		0.012274
1850		0.012272
1851		0.012270
1852		0.012269
1853		0.012267
1854		0.012265
1855		0.012264
1856		0.012262
1857		0.012260
1858		0.012259
1859		0.012257
1860		0.012255
1861		0.012253
1862		0.012252
1863		0.012250
1864		0.012248
1865		0.012247
1866		0.012245
